batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
13,2,0.0806,0.0403,0.0806,0.0743,0.2972,77.0,3,1753816352,1754501753,2,2025-07-29,2025-08-06,190.39
52,3,0.0771,0.0257,0.0771,0.007,0.269,175.0,3,1752672869,1754402103,3,2025-07-16,2025-08-05,480.34
36,3,0.0654,0.0218,0.0654,-0.0464,0.6528,30.0,5,1753710457,1754317207,3,2025-07-28,2025-08-04,168.54
29,2,0.0638,0.0319,0.0638,0.0692,0.2663,53.0,3,1754377785,1754418740,2,2025-08-05,2025-08-05,11.38
49,1,0.0452,0.0452,0.0452,0.3568,0.1266,35.0,4,1754314805,1754314805,1,2025-08-04,2025-08-04,0.0
109,1,0.0439,0.0146,0.0146,0.3717,0.0394,46.0,3,1752160830,1752160832,3,2025-07-10,2025-07-10,0.0
57,2,0.0413,0.0207,0.0413,0.0015,-0.2786,11.0,2,1753774756,1754391618,2,2025-07-29,2025-08-05,171.35
5,1,0.0262,0.0262,0.0262,0.3319,0.079,22.0,3,1754582501,1754582501,1,2025-08-07,2025-08-07,0.0
58,7,0.0183,0.0017,0.0092,-0.0918,0.7415,83.0,16,1754005602,1754319353,11,2025-07-31,2025-08-04,87.15
79,1,0.0175,0.0175,0.0175,0.374,0.0468,48.0,3,1754309837,1754309837,1,2025-08-04,2025-08-04,0.0
66,2,0.0135,0.0068,0.0135,-0.0154,-0.2795,5.0,2,1752810921,1754268195,2,2025-07-18,2025-08-04,404.8
95,1,0.0112,0.0112,0.0112,0.3485,0.0322,30.0,2,1754232590,1754232590,1,2025-08-03,2025-08-03,0.0
38,4,0.0001,0.0,0.0001,-0.0967,0.3978,24.0,5,1752608621,1754434907,5,2025-07-15,2025-08-05,507.3
42,1,0.0,0.0,0.0,0.2344,-0.4984,3.0,1,1754426669,1754426669,1,2025-08-05,2025-08-05,0.0
39,1,0.0,0.0,0.0,0.2908,-0.3627,10.0,2,1754068074,1754068074,1,2025-08-01,2025-08-01,0.0
48,1,0.0,0.0,0.0,0.2344,-0.5321,3.0,1,1754338929,1754338929,1,2025-08-04,2025-08-04,0.0
47,1,0.0,0.0,0.0,0.273,-0.3908,7.0,1,1754131179,1754131179,1,2025-08-02,2025-08-02,0.0
40,1,0.0,0.0,0.0,0.273,-0.4245,7.0,1,1753907003,1753907003,1,2025-07-30,2025-07-30,0.0
26,1,0.0,0.0,0.0,0.2344,-0.5659,3.0,1,1754409865,1754409865,1,2025-08-05,2025-08-05,0.0
33,1,0.0,0.0,0.0,0.3001,-0.3308,12.0,1,1754398700,1754398700,1,2025-08-05,2025-08-05,0.0
28,1,0.0,0.0,0.0,0.1957,-0.8586,1.0,1,1754410189,1754410189,1,2025-08-05,2025-08-05,0.0
35,1,0.0,0.0,0.0,0.2656,-0.4509,6.0,1,1754440265,1754440265,1,2025-08-06,2025-08-06,0.0
22,1,0.0,0.0,0.0,0.3568,-0.0757,35.0,1,1754499212,1754499212,1,2025-08-06,2025-08-06,0.0
11,1,0.0,0.0,0.0,0.3268,-0.3761,20.0,1,1754508339,1754508339,1,2025-08-06,2025-08-06,0.0
7,5,0.0,0.0,0.0,-0.0713,0.7746,68.0,8,1752652792,1754497361,7,2025-07-16,2025-08-06,512.38
6,1,0.0,0.0,0.0,0.257,-0.4144,5.0,1,1754497362,1754497362,1,2025-08-06,2025-08-06,0.0
4,1,0.0,0.0,0.0,0.2468,-0.5191,4.0,1,1754554251,1754554251,1,2025-08-07,2025-08-07,0.0
19,1,0.0,0.0,0.0,0.2344,-0.7008,3.0,1,1749638619,1749638619,1,2025-06-11,2025-06-11,0.0
43,1,0.0,0.0,0.0,0.3294,-0.3676,21.0,1,1754424688,1754424688,1,2025-08-05,2025-08-05,0.0
45,1,0.0,0.0,0.0,0.3319,-0.0559,22.0,2,1753909281,1754131735,2,2025-07-30,2025-08-02,61.79
46,1,0.0,0.0,0.0,0.2656,-0.4172,6.0,1,1754131788,1754131788,1,2025-08-02,2025-08-02,0.0
25,1,0.0,0.0,0.0,0.257,-0.4819,5.0,1,1754473462,1754473462,1,2025-08-06,2025-08-06,0.0
30,1,0.0,0.0,0.0,0.2183,-0.6285,2.0,1,1754437313,1754437313,1,2025-08-05,2025-08-05,0.0
27,1,0.0,0.0,0.0,0.374,-0.0881,48.0,1,1753899517,1753899517,1,2025-07-30,2025-07-30,0.0
67,1,0.0,0.0,0.0,0.2796,-0.4015,8.0,1,1753072781,1753072781,1,2025-07-21,2025-07-21,0.0
69,1,0.0,0.0,0.0,0.2854,-0.3136,9.0,1,1753862942,1753862942,1,2025-07-30,2025-07-30,0.0
68,1,0.0,0.0,0.0,0.3241,-0.2502,19.0,1,1751598982,1751598982,1,2025-07-04,2025-07-04,0.0
61,1,0.0,0.0,0.0,0.2183,-0.5611,2.0,1,1754032345,1754032345,1,2025-08-01,2025-08-01,0.0
62,1,0.0,0.0,0.0,0.3042,-0.1819,13.0,2,1754010815,1754010815,1,2025-08-01,2025-08-01,0.0
74,1,0.0,0.0,0.0,0.308,-0.3038,14.0,2,1754025836,1754025836,1,2025-08-01,2025-08-01,0.0
76,1,0.0,0.0,0.0,0.2796,-0.334,8.0,1,1753208776,1753208776,1,2025-07-22,2025-07-22,0.0
