repo,total_merged_prs,passed_first_try,pass_rate
sdmg15/Best-websites-a-programmer-should-visit,8,8,100.0
unionlabs/union,42,42,100.0
CompVis/stable-diffusion,2,2,100.0
ruanyf/weekly,38,38,100.0
d2l-ai/d2l-zh,13,13,100.0
abi/screenshot-to-code,21,21,100.0
thedaviddias/Front-End-Checklist,18,18,100.0
immich-app/immich,37,36,97.3
moby/moby,46,44,95.65
redis/redis,45,44,97.78
pallets/flask,14,14,100.0
Developer-Y/cs-video-courses,49,49,100.0
hakimel/reveal.js,11,10,90.91
ventoy/Ventoy,21,21,100.0
grafana/grafana,40,40,100.0
binary-husky/gpt_academic,35,33,94.29
josephmisiti/awesome-machine-learning,37,37,100.0
enaqx/awesome-react,8,8,100.0
swiftlang/swift,46,44,95.65
base/node,31,31,100.0
swisskyrepo/PayloadsAllTheThings,24,24,100.0
tesseract-ocr/tesseract,42,38,90.48
protocolbuffers/protobuf,12,12,100.0
python/cpython,43,43,100.0
strapi/strapi,43,38,88.37
expressjs/express,8,7,87.5
apache/superset,43,43,100.0
ocornut/imgui,12,12,100.0
sherlock-project/sherlock,23,20,86.96
DigitalPlatDev/FreeDomain,0,0,0.0
chartjs/Chart.js,42,42,100.0
x1xhlol/system-prompts-and-models-of-ai-tools,17,17,100.0
ansible/ansible,41,40,97.56
obsproject/obs-studio,35,31,88.57
webpack/webpack,35,35,100.0
caddyserver/caddy,40,40,100.0
leonardomso/33-js-concepts,22,22,100.0
openai/openai-cookbook,38,38,100.0
PKUFlyingPig/cs-self-learning,36,36,100.0
browser-use/browser-use,0,0,0.0
Alvin9999/new-pac,0,0,0.0
clash-verge-rev/clash-verge-rev,0,0,0.0
fffaraz/awesome-cpp,0,0,0.0
Eugeny/tabby,0,0,0.0
xtekky/gpt4free,0,0,0.0
nektos/act,0,0,0.0
AppFlowy-IO/AppFlowy,0,0,0.0
kdn251/interviews,0,0,0.0
localsend/localsend,0,0,0.0
lydiahallie/javascript-questions,0,0,0.0
danielmiessler/SecLists,0,0,0.0
apache/echarts,0,0,0.0
awesomedata/awesome-public-datasets,0,0,0.0
kelseyhightower/nocode,0,0,0.0
twitter/the-algorithm,0,0,0.0
lobehub/lobe-chat,0,0,0.0
binhnguyennus/awesome-scalability,0,0,0.0
Stirling-Tools/Stirling-PDF,0,0,0.0
keras-team/keras,0,0,0.0
scikit-learn/scikit-learn,0,0,0.0
resume/resume.github.com,0,0,0.0
TheAlgorithms/Java,0,0,0.0
zed-industries/zed,0,0,0.0
chrislgarry/Apollo-11,0,0,0.0
FuelLabs/sway,0,0,0.0
