scale_raw,scope_raw,centrality_raw,complexity_raw,type_raw,release_raw,batch_id,batch_start_ts,batch_end_ts,batch_commit_count,batch_total_churn,scale_z,scope_z,centrality_z,complexity_z,type_z,release_z,importance
5.8805329864007,4.607187241675984,0.0,3.429441058365255,0.8,0.5,20,1752066426,1752066489,2,357.0,-0.3839404125023916,-0.5035828067565525,0.0,2.417865904357806,-1.348981518953189,0.0,0.011883048656323975
6.284134161070802,11.7,0.0,2.5068175364535015,1.1,0.5,19,1752066507,1752174729,9,535.0,-0.12998891821697928,0.0,0.0,-0.15789110648704982,0.6744907594765952,0.0,0.004768734509508266
1.6094379124341003,0.7,0.0,1.2686362411795196,0.8,0.5,18,1752178617,1752178617,1,4.0,-3.0,-0.7809893004465839,0.0,-3.0,-1.348981518953189,0.0,-1.6410960119846356
7.29871570088742,18.423189912026775,0.0,3.8206585036842586,1.1,0.5,17,1752178964,1752594334,5,1477.4,0.5083999524829836,0.4773399441966656,0.0,3.0,0.6744907594765952,0.0,0.7654370505318876
5.4116460518550396,3.7,0.0,2.326294489495051,0.8,0.5,16,1752605420,1752684095,3,223.0,-0.6789706184380083,-0.5679922185066064,0.0,-0.6618707826813213,-1.348981518953189,0.0,-0.5514683985302409
7.776535028185241,45.7,0.0,2.788643940732707,1.1,0.5,15,1752685775,1753118530,7,2383.0,0.8090505446546152,2.4139669286530774,0.0,0.628904720221552,0.6744907594765952,0.0,0.8872933331078923
7.289610521451167,28.7,0.0,2.6999278733794294,0.8,0.5,14,1753120438,1753258057,5,1464.0,0.502670846452846,1.2069834643265387,0.0,0.3812294474447484,-1.348981518953189,0.0,0.31448421202255483
6.490723534502507,12.7,0.0,2.5476898426815042,1.1,0.5,13,1753280510,1753393326,6,658.0,0.0,0.0709990273133258,0.0,-0.04378483581877888,0.6744907594765952,0.0,0.07508115603750784
8.54849804124465,181.90711111607828,0.0,4.134851397872637,1.1,0.5,12,1753395388,1753396782,5,5158.0,1.294780450816925,3.0,0.0,3.0,0.6744907594765952,0.0,1.5058832111927372
7.867871490396322,201.7,0.0,2.804972636300811,1.1,0.5,11,1753396793,1753397565,5,2611.0,0.8665207219409089,3.0,0.0,0.6744907594765952,0.6744907594765952,0.0,1.0285789064514215
6.570882962339584,24.2,0.0,2.563373356017337,1.1,0.5,10,1753397664,1753453260,7,713.0,0.05043743120155337,0.8874878414165726,0.0,0.0,0.6744907594765952,0.0,0.2600778735914401
4.624972813284271,2.2,0.0,2.1505749959683507,0.8,0.5,9,1753453629,1753453629,1,101.0,-1.1739564038800017,-0.6744907594765952,0.0,-1.1524400199100213,-1.348981518953189,0.0,-0.7948492279411417
4.804021044733257,3.2,0.0,2.191807711623731,0.8,0.5,8,1753453647,1753453647,1,121.0,-1.0612967567350284,-0.6034917321632693,0.0,-1.0373275673189022,-1.348981518953189,0.0,-0.7295846604463166
6.380122536899765,8.7,0.0,2.5258904443581405,1.0,0.5,7,1753463244,1753463244,1,589.0,-0.06959169193110486,-0.21299708193997743,0.0,-0.10464384464532207,0.0,0.0,-0.07917350066412526
2.772588722239781,1.7,0.0,1.6651092223153954,1.0,0.5,6,1753463275,1753463275,1,15.0,-2.3395023374263673,-0.7099902731332581,0.0,-2.5077510870078994,0.0,0.0,-1.2200114189057467
5.583496308781699,3.7,0.0,2.3629422990800473,1.0,0.5,5,1753463289,1753691768,3,265.0,-0.5708400373624469,-0.5679922185066064,0.0,-0.5595583548829651,0.0,0.0,-0.3687842081425001
7.562681246721884,31.120278680106537,0.0,4.763196798387156,1.1,0.5,4,1753718756,1753724534,10,1924.0,0.6744907594765952,1.378820896441283,0.0,3.0,0.6744907594765952,0.0,0.9955604830788946
5.424950017481403,4.2,0.0,2.3291522100286626,0.8,0.5,3,1753729864,1753729864,1,226.0,-0.6705995775125245,-0.5324927048499435,0.0,-0.6538926707812116,-1.348981518953189,0.0,-0.5406604667362468
7.295735072749282,10.2,0.0,2.7010618417113816,0.8,0.5,2,1753775156,1753780727,2,1473.0,0.5065244996421737,-0.10649854096998872,0.0,0.38439523155032784,-1.348981518953189,0.0,0.05341877453588462
7.634820677745543,54.40606691645324,0.0,3.907638846604313,1.1,0.5,1,1753802615,1753817429,13,2068.0,0.7198818967058959,3.0,0.0,3.0,0.6744907594765952,0.0,1.3334136449594283
8.195609567288775,42.2,0.0,2.862797507210172,1.1,0.5,0,1753852338,1754078401,12,3624.0,1.0727380958846213,2.1654703330564375,0.0,0.835924771409614,0.6744907594765952,0.0,0.9477532870357754
