author,commit_count,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio
Moon Hee Lee,1,1,14.0,0.0,14.0,14,1225.0,0.0
Nigel Croxon,1,1,8.0,2.0,10.0,10,1402.0,0.0
Ofir Bitton,1,1,1.0,1.0,2.0,2,445.0,0.0
Oleksij Rempel,5,2,10.8,1.2,12.0,29,1244.8,0.0
Pagadala Yesu Anjaneyulu,1,1,1.0,1.0,2.0,2,724.0,0.0
Palmer Dabbelt,1,1,5.0,4.0,9.0,9,523.0,0.0
Pankaj Raghav,1,1,5.0,0.0,5.0,5,1789.0,0.0
Paolo Abeni,3,1,33.333333333333336,23.333333333333332,56.666666666666664,75,1130.6666666666667,0.0
Paolo Bonzini,4,2,41.5,17.75,59.25,140,868.25,0.0
Paulo Alcantara,1,1,20.0,19.0,39.0,39,1587.0,0.0
Pavel Begunkov,1,1,0.0,3.0,3.0,3,638.0,0.0
Peter Ujfalusi,1,1,1.0,0.0,1.0,1,442.0,0.0
Peter Zijlstra,1,1,1.0,1.0,2.0,2,874.0,0.0
Petr Pavlu,2,1,1.5,2.0,3.5,4,829.0,0.0
Qasim Ijaz,2,2,4.5,2.5,7.0,10,4732.5,0.0
Rafael J. Wysocki,3,3,5.333333333333333,9.666666666666666,15.0,24,587.3333333333334,0.0
Raju Rangoju,2,2,16.0,5.5,21.5,28,612.0,0.0
Richard Fitzgerald,1,1,1.0,1.0,2.0,2,655.0,0.0
Ryo Takakura,1,1,6.0,0.0,6.0,6,3259.0,0.0
Sean Nyekjaer,1,1,1.0,1.0,2.0,2,541.0,0.0
Sebastian Andrzej Siewior,1,1,8.0,2.0,10.0,10,1364.0,0.0
Shravya KN,1,1,2.0,0.0,2.0,2,853.0,0.0
Shruti Parab,1,1,11.0,7.0,18.0,18,684.0,0.0
Shuicheng Lin,3,2,11.333333333333334,5.0,16.333333333333332,38,794.3333333333334,0.0
Simon Trimmer,1,1,3.0,0.0,3.0,3,369.0,0.0
Simona Vetter,4,2,49.75,22.5,72.25,192,1474.5,0.0
Somnath Kotur,1,1,1.0,1.0,2.0,2,1942.0,0.0
Stefano Garzarella,1,1,1.0,1.0,2.0,2,922.0,0.0
Sumanth Gavini,1,1,1.0,1.0,2.0,2,314.0,0.0
Takashi Iwai,1,1,3434.0,2006.0,5440.0,5440,234.0,0.0
Tamir Duberstein,1,1,1.0,2.0,3.0,3,274.0,0.0
Terry Tritton,1,1,1.0,0.0,1.0,1,422.0,0.0
Thomas Fourier,1,1,34.0,1.0,35.0,35,611.0,0.0
Thomas Weißschuh,2,1,3.0,2.0,5.0,8,672.5,0.0
Thomas Zimmermann,2,2,59.5,18.5,78.0,94,2673.0,0.0
Thorsten Blum,1,1,1.0,1.0,2.0,2,445.0,0.0
Uwe Kleine-König,2,1,4.5,3.0,7.5,13,708.0,0.0
Vicki Pfau,1,1,2.0,2.0,4.0,4,406.0,0.0
Victor Nogueira,2,2,26.5,3.5,30.0,37,1543.5,0.5
Vinay Belgaumkar,2,2,72.0,1.0,73.0,137,938.5,0.0
Vitor Soares,1,1,3.0,1.0,4.0,4,3402.0,0.0
Wang Jinchao,1,1,1.0,0.0,1.0,1,1259.0,0.0
Wang Zhaolong,1,1,5.0,3.0,8.0,8,2543.0,0.0
Wolfram Sang,1,1,8.0,2.0,10.0,10,314.0,0.0
Xiang Mei,1,1,25.0,28.0,53.0,53,781.0,1.0
Yue Haibing,1,1,9.0,1.0,10.0,10,2246.0,1.0
Yunshui Jiang,1,1,2.0,0.0,2.0,2,580.0,0.0
Zheng Qixing,2,2,3.5,2.0,5.5,6,1511.5,0.0
kuyo chang,1,1,5.0,5.0,10.0,10,2095.0,0.0
