author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
ivarflakstad,2,1,2.5,0.5,3.0,4,78.0,0.0,43,34,0.79,2
jiangwangyi,1,1,0.0,143.0,143.0,143,121.0,0.0,4,2,0.5,1
jiqing-feng,6,5,32.333333333333336,4.333333333333333,36.666666666666664,85,425.1666666666667,0.0,67,54,0.81,6
juliendenize,1,1,3573.0,8.0,3581.0,3581,826.0,0.0,2,2,1.0,1
kaixuanliu,2,1,9.5,4.5,14.0,19,433.0,0.0,7,3,0.43,2
kaln27,1,1,4.0,4.0,8.0,8,254.0,0.0,1,1,1.0,1
kashif,1,1,5.0,1.0,6.0,6,169.0,0.0,29,18,0.62,1
klimarissa17,1,1,1.0,1.0,2.0,2,39.0,0.0,1,1,1.0,1
kmehant,1,1,58.0,8.0,66.0,66,972.0,0.0,9,8,0.89,1
kylesayrs,4,3,23.25,10.75,34.0,58,401.5,0.0,15,13,0.87,4
learning-chip,1,1,1.0,4.0,5.0,5,265.0,0.0,1,1,1.0,1
lhoestq,2,2,301.0,321.5,622.5,798,624.0,0.0,25,20,0.8,2
manueldeprada,2,2,20.5,2.0,22.5,23,191.0,0.0,20,12,0.6,2
marcndo,2,2,9.0,0.5,9.5,17,159.5,0.0,7,3,0.43,2
maximizemaxwell,1,1,87.0,0.0,87.0,87,707.0,0.0,7,6,0.86,1
molbap,2,2,155.0,7.5,162.5,310,150.0,0.0,55,43,0.78,2
mylonjones,1,1,2.0,1.0,3.0,3,134.0,0.0,1,1,1.0,1
null-pointer-access,1,1,6.0,4.0,10.0,10,155.0,0.0,1,1,1.0,1
orionw,1,1,2020.0,0.0,2020.0,2020,1093.0,0.0,3,1,0.33,1
paulpak58,2,1,822.5,7.0,829.5,1651,535.5,0.0,3,2,0.67,2
pcuenca,1,1,10.0,5.0,15.0,15,241.0,0.0,31,23,0.74,1
peteryschneider,1,1,5.0,0.0,5.0,5,228.0,0.0,1,1,1.0,1
qgallouedec,1,1,1.0,1.0,2.0,2,203.0,0.0,21,17,0.81,1
qubvel,5,5,196.2,162.8,359.0,1215,293.6,0.0,88,71,0.81,5
ranzhejiang,1,1,7.0,0.0,7.0,7,343.0,0.0,1,1,1.0,1
rasmi,2,2,1.0,2.0,3.0,4,107.5,0.0,5,4,0.8,2
redmoe-moutain,1,1,1239.0,0.0,1239.0,1239,154.0,0.0,1,1,1.0,1
remi-or,4,3,66.75,25.75,92.5,217,366.25,0.0,21,20,0.95,4
renet10,1,1,23.0,5.0,28.0,28,2637.0,0.0,1,1,1.0,1
richardodliu,1,1,111.0,0.0,111.0,111,848.0,0.0,1,1,1.0,1
ridima11,1,1,3.0,3.0,6.0,6,56.0,0.0,2,1,0.5,1
rudolfwilliam,1,1,6.0,8.0,14.0,14,131.0,0.0,1,1,1.0,1
